CCTV-1,igmp://225.1.4.73:1102
CCTV-2,igmp://225.1.4.74:1103
CCTV-3,igmp://225.1.4.158:1194
CCTV-4,igmp://225.1.5.30:1333
CCTV-5,igmp://225.1.4.159:1195
CCTV-6,igmp://225.1.4.160:1196
CCTV-7,igmp://225.1.4.76:1105
CCTV-8,igmp://225.1.4.161:1197
CCTV-9,igmp://225.1.4.77:1106
CCTV-10,igmp://225.1.4.78:1107
CCTV-11,igmp://225.1.4.215:1268
CCTV-12,igmp://225.1.4.79:1108
CCTV-13,igmp://225.1.4.113:1293
CCTV-14,igmp://225.1.4.80:1109
CCTV-15,igmp://225.1.4.216:1269
CCTV-17,igmp://225.1.4.226:2506
CCTV-5+,igmp://225.1.4.75:1104
CCTV-4K,igmp://225.1.5.65:1375
河南卫视,igmp://225.1.4.98:1127
湖南卫视,igmp://225.1.4.82:1111
江苏卫视,igmp://225.1.4.83:1112
浙江卫视,igmp://225.1.4.84:1113
北京卫视,igmp://225.1.4.81:1110
东方卫视,igmp://225.1.4.85:1114
天津卫视,igmp://225.1.4.86:1115
山东卫视,igmp://225.1.4.88:1117
安徽卫视,igmp://225.1.4.87:1116
深圳卫视,igmp://225.1.4.90:1119
江西卫视,igmp://225.1.4.139:1305
湖北卫视,igmp://225.1.4.89:1118
四川卫视,igmp://225.1.4.151:1306
黑龙江卫视,igmp://225.1.4.91:1120
云南卫视,igmp://225.1.4.152:1307
贵州卫视,igmp://225.1.4.122:1302
辽宁卫视,igmp://225.1.4.167:1208
东南卫视,igmp://225.1.4.228:1274
重庆卫视,igmp://225.1.4.157:1308
广东卫视,igmp://225.1.4.166:1207
广西卫视,igmp://225.1.4.31:1060
河北卫视,igmp://225.1.4.123:1304
吉林卫视,igmp://225.1.4.174:1309
山西卫视,igmp://225.1.4.38:1067
陕西卫视,igmp://225.1.4.39:1068
甘肃卫视,igmp://225.1.4.42:1071
宁夏卫视,igmp://225.1.4.43:1072
青海卫视,igmp://225.1.4.44:1073
卡酷少儿,igmp://225.1.4.48:1077
金鹰卡通,igmp://225.1.4.49:1078
嘉佳卡通,igmp://225.1.4.92:1121
中国教育-1,igmp://225.1.4.173:1712
中国教育-4,igmp://225.1.4.171:1710
厦门卫视,igmp://225.1.4.95:1124
金鹰纪实,igmp://225.1.4.172:1711
兵团卫视,igmp://225.1.4.97:1126
中国教育-2,igmp://225.1.4.165:1206
山东教育,igmp://225.1.4.164:1205
三沙卫视,igmp://225.1.4.234:1280
海南卫视,igmp://225.1.4.195:1310
北京纪实科教,igmp://225.1.5.74:1384
河南都市,igmp://225.1.4.52:1081
河南民生,igmp://225.1.4.53:1082
河南法治,igmp://225.1.4.54:1083
河南电视剧,igmp://225.1.4.55:1084
河南新闻,igmp://225.1.4.56:1085
河南公共,igmp://225.1.4.58:1087
北京卫视4K,igmp://225.1.5.67:1377
东方卫视4K,igmp://225.1.5.70:1380
江苏卫视4K,igmp://225.1.5.71:1381
浙江卫视4K,igmp://225.1.5.72:1382
山东卫视4K,igmp://225.1.5.73:1383
湖南卫视4K,igmp://225.1.5.76:1386
四川卫视4K,igmp://225.1.5.75:1385
深圳卫视4K,igmp://225.1.5.68:1378
广东卫视4K,igmp://225.1.5.69:1379
河南卫视4K,igmp://225.1.4.254:1300
河南乡村,igmp://225.1.4.120:1149
河南梨园,igmp://225.1.4.99:1128




